league,code,club
English Premier League,WHU,West Ham United
English Premier League,WLV,Wolverhampton Wanderers
French Ligue 1,ACA,Ajaccio 
French Ligue 1,ANG,Angers
French Ligue 1,AUX,Auxerre 
French Ligue 1,B29,Brest
French Ligue 1,CLE,Clermont Foot
French Ligue 1,LIL,Lille
French Ligue 1,LOR,Lorient 
French Ligue 1,AMO,Monaco
French Ligue 1,MPL,Montpellier
French Ligue 1,NAN,Nantes
French Ligue 1,NCE,Nice
French Ligue 1,LYO,Olympique Lyon
French Ligue 1,OLM,Olympique Marseille
French Ligue 1,PSG,Paris St Germain
French Ligue 1,LEN,RC Lens 
French Ligue 1,REI,Reims
French Ligue 1,REN,Rennes 
French Ligue 1,STR,Strasbourg
French Ligue 1,TOU,Toulouse 
French Ligue 1,TRO,Troyes 
German Bundesliga,B04,Bayer Leverkusen
German Bundesliga,BAY,Bayern Munich
German Bundesliga,DOR,Borussia Dortmund
German Bundesliga,BMG,Borussia Moenchengladbach
German Bundesliga,CGN,Cologne
German Bundesliga,SGE,Eintracht Frankfurt
German Bundesliga,AUG,FC Augsburg
German Bundesliga,SCF,Freiburg
German Bundesliga,BCS,Hertha Berlin
German Bundesliga,TSG,Hoffenheim
German Bundesliga,MAI,Mainz 05
German Bundesliga,RBL,RB Leipzig
German Bundesliga,S04,Schalke 04
German Bundesliga,UNB,Union Berlin
German Bundesliga,STU,VfB Stuttgart
German Bundesliga,BOC,VfL Bochum
German Bundesliga,WOB,VfL Wolfsburg
German Bundesliga,SVW,Werder Bremen
German Bundesliga 2,BIE,Arminia Bielefeld
German Bundesliga 2,DAR,Darmstadt 98
German Bundesliga 2,EBR,Eintracht Braunschweig 
German Bundesliga 2,MAG,FC Magdeburg 
German Bundesliga 2,DUS,Fortuna Duesseldorf
German Bundesliga 2,GRF,Greuther Fuerth
German Bundesliga 2,HSV,Hamburg SV
German Bundesliga 2,HAN,Hanover 96
German Bundesliga 2,HRO,Hansa Rostock 
German Bundesliga 2,HEI,Heidenheim
German Bundesliga 2,HKI,Holstein Kiel
German Bundesliga 2,JAH,Jahn Regensburg
German Bundesliga 2,FCK,Kaiserslautern
German Bundesliga 2,KSC,Karlsruher SC
German Bundesliga 2,NUR,Nuremberg
German Bundesliga 2,SAN,Sandhausen
German Bundesliga 2,SCP,SC Paderborn
German Bundesliga 2,PAU,St Pauli
Greek Super League,AEK,AEK Athens
Greek Super League,ART,Aris 
Greek Super League,ATR,Asteras Tripolis
Greek Super League,ATS,Atromitos
Greek Super League,ION,Ionikos 
Greek Super League,LAM,Lamia
Greek Super League,LEV,Levadiakos
Greek Super League,OFI,OFI Crete
Greek Super League,OLY,Olympiacos
Greek Super League,PAN,Panathanaikos
Greek Super League,PTK,Panetolikos
Greek Super League,PAO,PAOK
Greek Super League,GIA,PAS Giannina 
Greek Super League,VLO,Volos 
Italian Serie A,MIL,AC Milan
Italian Serie A,ROM,AS Roma
Italian Serie A,ATT,Atalanta
Italian Serie A,BGN,Bologna
Italian Serie A,CRE,Cremonese
Italian Serie A,EMP,Empoli
Italian Serie A,FIO,Fiorentina
Italian Serie A,HEL,Hellas Verona
Italian Serie A,INT,Inter Milan
Italian Serie A,JUV,Juventus
Italian Serie A,LAZ,Lazio
Italian Serie A,LEC,Lecce 
Italian Serie A,MNZ,Monza
Italian Serie A,NAP,Napoli
Italian Serie A,USS,Salernitana 
Italian Serie A,SAM,Sampdoria
Italian Serie A,SAS,Sassuolo
Italian Serie A,SPZ,Spezia Calcio 
Italian Serie A,TOR,Torino
Italian Serie A,UDI,Udinese
Portuguese Primeira Liga,ARO,Arouca
Portuguese Primeira Liga,SLB,Benfica
Portuguese Primeira Liga,BOA,Boavista
Portuguese Primeira Liga,CPA,Casa Pia 
Portuguese Primeira Liga,ETR,Estoril 
Portuguese Primeira Liga,FAM,Famalicao
Portuguese Primeira Liga,POR,FC Porto
Portuguese Primeira Liga,GDC,GD Chaves 
Portuguese Primeira Liga,GVI,Gil Vicente
Portuguese Primeira Liga,MTI,Maritimo
Portuguese Primeira Liga,PAC,Pacos de Ferreira
Portuguese Primeira Liga,PRT,Portimonense
Portuguese Primeira Liga,RIO,Rio Ave 
Portuguese Primeira Liga,SCL,Santa Clara
Portuguese Primeira Liga,SBR,Sporting Braga
Portuguese Primeira Liga,SLI,Sporting Lisbon
Portuguese Primeira Liga,VDG,Vitoria Guimaraes
Portuguese Primeira Liga,VIZ,Vizela 
Russian Premier League,AKH,Akhmat Grozny
Russian Premier League,CSK,CSKA Moscow
Russian Premier League,DMO,Dynamo Moscow 
Russian Premier League,FAK,Fakel Voronezh
Russian Premier League,KRA,FC Krasnodar
Russian Premier League,FCO,FC Orenburg
Russian Premier League,FCR,FC Rostov
Russian Premier League,FCU,FC Ural
Russian Premier League,KHI,Khimki 
Russian Premier League,KSS,Krylia Sovetov Samara
Russian Premier League,LMO,Lokomotiv Moscow
Russian Premier League,NIZ,Nizhny Novgorod
Russian Premier League,SCH,PFC Sochi 
Russian Premier League,SPM,Spartak Moscow
Russian Premier League,TMO,Torpedo Moscow 
Russian Premier League,ZSP,Zenit St Petersburg
Scottish Premiership,ABE,Aberdeen
Scottish Premiership,CEL,Celtic
Scottish Premiership,DDU,Dundee United
Scottish Premiership,HOM,Heart of Midlothian
Scottish Premiership,HIB,Hibernian
Scottish Premiership,KIL,Kilmarnock 
Scottish Premiership,LFC,Livingston
Scottish Premiership,MOT,Motherwell
Scottish Premiership,RFC,Rangers
Scottish Premiership,RSC,Ross County
Scottish Premiership,STJ,St Johnstone
Scottish Premiership,SMI,St Mirren
Spanish LaLiga,UDA,Almeria
Spanish LaLiga,ATB,Athletic Bilbao
Spanish LaLiga,ATM,Atletico Madrid
Spanish LaLiga,FCB,Barcelona
Spanish LaLiga,CCF,Cadiz 
Spanish LaLiga,CLV,Celta Vigo
Spanish LaLiga,ELC,Elche
Spanish LaLiga,ESY,Espanyol 
Spanish LaLiga,GET,Getafe
Spanish LaLiga,GIR,Girona
Spanish LaLiga,OSA,Osasuna
Spanish LaLiga,RAY,Rayo Vallecano
Spanish LaLiga,RCD,RCD Mallorca 
Spanish LaLiga,BET,Real Betis
Spanish LaLiga,MAD,Real Madrid
Spanish LaLiga,SOC,Real Sociedad
Spanish LaLiga,REV,Real Valladolid 
Spanish LaLiga,SEV,Sevilla
Spanish LaLiga,VAL,Valencia
Spanish LaLiga,VIL,Villarreal
Swedish First Division (2023),AIK,AIK
Swedish First Division (2023),BRO,Brommapojkarna 
Swedish First Division (2023),DIF,Degerfors IF
Swedish First Division (2023),DJU,Djurgarden
Swedish First Division (2023),ELF,Elfsborg
Swedish First Division (2023),HAC,Hacken
Swedish First Division (2023),HAL,Halmstad
Swedish First Division (2023),HAM,Hammarby
Swedish First Division (2023),GOT,IFK Gothenburg
Swedish First Division (2023),NRK,IFK Norrkoping
Swedish First Division (2023),IKV,IFK Varnamo 
Swedish First Division (2023),KAL,Kalmar
Swedish First Division (2023),MAL,Malmo FF
Swedish First Division (2023),MJA,Mjallby AIF 
Swedish First Division (2023),SIR,Sirius
Swedish First Division (2023),VBO,Varbergs BOIS
Swiss Super League,BAS,Basel
Swiss Super League,GRA,Grasshopper
Swiss Super League,LUG,Lugano
Swiss Super League,LUZ,Luzern
Swiss Super League,SER,Servette
Swiss Super League,SIO,Sion
Swiss Super League,STG,St Gallen
Swiss Super League,WIN,Winterthur 
Swiss Super League,YBO,Young Boys
Swiss Super League,ZUR,Zurich
Turkish Super League,ADA,Adana Demirspor
Turkish Super League,ANT,Alanyaspor
Turkish Super League,ANY,Altay
Turkish Super League,ANK,Antalyaspor
Turkish Super League,BES,Besiktas
Turkish Super League,FEN,Caykur Rizespor
Turkish Super League,GAG,Fatih Karagumruk 
Turkish Super League,FKA,Fenerbahce
Turkish Super League,GSP,Galatasaray
Turkish Super League,GAL,Gazisehir Gaziantep
Turkish Super League,HTY,Giresunspor
Turkish Super League,IBA,Goztepe
Turkish Super League,ISB,Hatayspor 
Turkish Super League,KAY,Istanbul Basaksehir
Turkish Super League,KSK,Kasimpasa
Turkish Super League,KON,Kayserispor
Turkish Super League,SIV,Konyaspor
Turkish Super League,TRA,Sivasspor
Turkish Super League,UMR,Trabzonspor
